original_title,Basel Anti-Money Laundering Index,,,,
original_indicator_code,,,,,
title_German,Geldwäsche und Terrorfinanzierung (Basel AML),,,,
sdg,16,,,,
short_indicator_description,,,,,
short_indicator_description$de,"Risiko in einem Land zu Geldwäsche und Terrorfinanzierung ist, gemessen an 14 Einzelindikatoren",,,,
short_indicator_description$en,Risk of money laundering and terrorist financing of countries based on 14 individual indicators,,,,
long_indicator_description,,,,,
long_indicator_description$en$text,"The indicator by the Basel Institute of Governance measures the risk of money laundering and terrorist financing of countries. For this, a total of 14 indicators based on publicly available sources on corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score. The overall risk score represents a holistic assessment addressing structural as well as functional elements. As there are no quantitative data on money laundering available, the indicator indicates a risk level rather than actual money laundering activities. This is a useful indicator as it aims to holistically address the issue of terrorist financing. Nevertheless, it can also be questioned to what extent money laundering risk can actually be captured and whether this indicator is successful in measuring it. ",,,,
long_indicator_description$en$baseunit,points,,,,
long_indicator_description$de$text,"Bei diesem Indikator des Basel Institute of Governance wird gemessen wie hoch das Risiko zu Geldwäsche und Terrorfinanzierung ist. Dazu werden 14 Einzelindikatoren aus öffentlich zugänglichen Quellen zu Korruption, finanzielle Standards, politische Offenlegung und Rechtsstaatlichkeit zu einem übergeordneten Risikowert aggregiert. Der Risikowert ist eine ganzheitliche Bewertung mit funktionalen und strukturellen Bestandteilen. Da es keine quantitativen Daten zu Geldwäsche gibt, misst der Indikator nicht die tatsächliche Existenz von Geldwäsche und Terrorfinanzierung sondern gibt das Risikolevel an. Der Indikator ist nützlich, weil er versucht, alle Aspekte des Geldwäscherisikos zu messen. Auf der anderen Seite kann man hinterfragen, inwiefern ein solches Risiko überhaupt messbar ist und ob dieser Indikator dies erfolgreich tut. ",,,,
long_indicator_description$de$baseunit,Punkte,,,,
target,,,,,
target$type,less,,,,
target$value,0,,,,
target$rating,"0,2.5,5,7.5",,,,
target$explanation$de,"Die Methodik des Indexes sieht vor, dass er sich zwischen 0 (geringstes Risiko) bis 10 (höchstes Risiko) bewegt. Wir lehnen unseren Bewertung daran an. ",,,,
target$explanation$en,"According to the methodology of the index, it ranges from 0 (lowest risk) to 10 (highest risk), which we base our assessment on. ",,,,
target$target_reference,https://index2015.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2015.pdf,,,,
target$tags,economic,,,,
target$target,16.5,,,,
target$ministerial_responsibility,BMJV,,,,
target$other_relevant_SDGs,,,,,
scoring,,,,,
scoring$timestamp,27/11/2016,,,,
scoring$type,global,,,,
scoring$timestamp_data_host,2016,,,,
source,,,,,
source$type,inofficial,,,,
source$note,"The Basel AML Index measures the risk of money laundering and terrorist financing of countries based on publicly available sources. A total of 14 indicators that deal with AML/CFT regulations, corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score. By combining these various data sources, the overall risk score represents a holistic assessment addressing structural as well as functional elements in the AML/CFT framework. As there are no quantitative data available, the Basel AML Index does not measure the actual existence of money laundering activity or amount of illicit financial money within a country but is designed to indicate the risk level, i.e. the vulnerabilities of money laundering and terrorist financing within a country. The Basel AML Index ranks countries based on the overall score and provides data that is useful for comparative purposes. However it should be stressed that the primary objective is not to rank countries in comparison to each other. Rather, the Basel AML Index seeks to provide an overall picture of a country’s risk level and to serve as a solid starting point for examining progress over time",,,,
source$publisher,Basel Institute on Governance,,,,
