original_title,Proportion of seats held by women in national parliaments,,,,,,
original_indicator_code,SG.GEN.PARL.ZS,,,,,,
title_German,Anteil der Frauen in nationalen Parlamenten,,,,,,
sdg,5,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der Sitze im nationalen Parlament (im Unterhaus bei Zweikammersystemen),,,,,,
short_indicator_description$en,Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$en$text,"The indicator can show to what extent women are represented in national decision-making. A strong and vibrant democracy is only possible when parliament is fully inclusive of the population it represents. Thus, national parliaments cannot consider themselves as representative until they can boast the full participation of women. Without representation at this level, it is difficult for women to influence national policy. In addition to supporting women's rights to equality and representation, women's underrepresentation in parliaments also means that women's resources are underused to benefit policy-making in society. ",,,,,,
long_indicator_description$en$baseunit,%,,,,,,
long_indicator_description$de$text,"Der Indikator kann zeigen, inwiefern Frauen in nationale Entscheidungsprozesse eingebunden sind. Eine starke Demokratie kann nur existieren, wenn alle Teile der Bevölkerung in nationalen Parlamenten repräsentiert werden können. Also können nationale Parlamente nicht als inklusiv gewertet werden, bis sie die volle Partizipation von Frauen aufweisen können. Ohne Repräsentation auf diesem Level ist es schwierig für Frauen, nationale Politik zu beeinflussen. Dies ist nicht nur in Bezug auf Frauenrechte wichtig, sonder weil die Unterrepresäntation von Frauen bedeutet, dass wichtige Fähigkeiten, die für die Gesellschaft in der Politikgestaltung wichtig sein könnten, ungenutzt bleiben. ",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
target,,,,,,,
target$type,more,,,,,,
target$value,50,,,,,,
target$rating,"50,40,30,20",,,,,,
target$explanation$de,Mit einem Optimalwert von 50% wird eine ausgewogene Repräsentation angestrebt. ,,,,,,
target$explanation$en,"With a target value of 50%, we aim for gender parity in parliaments. ",,,,,,
target$target_reference,,,,,,,
target$tags,social,,,,,,
target$target,5.5,,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$other_relevant_SDGs,16,,,,,,
scoring,,,,,,,
scoring$timestamp,28/10/2016,,,,,,
scoring$type,national,,,,,,
scoring$timestamp_data_host,2015,,,,,,
source,,,,,,,
source$type,official,,,,,,
source$note,,,,,,,
source$publisher,Deutscher Frauenring,,,,,,
source$link,http://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,,,,
source$value,IAEG,,,,,,
source$maintainer,Deutscher Frauenring,,,,,,
source$license,Open License,,,,,,
countries,,,,,,,
,2016,2015,2014,2013,2012,2011,2010
Andorra,39.3,39.3,50,50,50,50,35.7
Afghanistan,27.7,27.7,27.7,27.7,27.7,27.7,27.7
Angola,36.8,36.8,36.8,34.1,34.1,38.2,38.6
Albania,20.7,20.7,20,17.9,15.7,15.7,16.4
Arab World,18.24961063,18.77915119,17.79396971,17.49244457,14.87201835,11.3352657,11.92392572
United Arab Emirates,22.5,22.5,17.5,17.5,17.5,17.5,22.5
Argentina,35.8,,36.6,,37.4,37.4,38.5
Armenia,10.7,10.7,10.7,10.7,10.7,8.4,9.2
Antigua and Barbuda,11.1,11.1,11.1,10.5,10.5,10.5,10.5
Australia,26.7,26.7,26,26,24.7,24.7,24.7
Austria,30.6,30.6,32.2,33.3,27.9,27.9,27.9
Azerbaijan,16.9,16.9,15.6,16,16,16,16
Burundi,36.4,36.4,30.5,30.5,30.5,30.5,32.1
Belgium,39.3,39.3,39.3,38,38,38,39.3
Benin,7.2,7.2,8.4,8.4,8.4,8.4,10.8
Burkina Faso,9.4,9.4,18.9,15.7,15.7,15.3,15.3
Bangladesh,20,20,19.8,19.7,19.7,19.7,18.6
Bulgaria,20.4,20.4,20,24.6,22.9,20.8,20.8
Bahrain,7.5,7.5,7.5,10,10,10,2.5
"Bahamas, The",13.2,13.2,13.2,13.2,13.2,12.2,12.2
Bosnia and Herzegovina,21.4,21.4,21.4,21.4,21.4,21.4,16.7
Belarus,27.3,27.3,26.6,26.6,26.6,31.8,31.8
Belize,3.1,3.1,3.1,3.1,3.1,0,0
Bolivia,53.1,53.1,53.1,25.4,25.4,25.4,25.4
Brazil,9.9,9.9,9.9,8.6,8.6,8.6,8.6
Barbados,16.7,16.7,16.7,16.7,10,10,10
Bhutan,8.5,8.5,8.5,6.4,8.5,8.5,8.5
Botswana,9.5,9.5,9.5,7.9,7.9,7.9,7.9
Canada,26,26,25.1,24.7,24.7,24.8,22.1
Central Europe and the Baltics,20.11644265,20.11644265,19.69763181,19.20119292,19.25792507,18.42124308,17.02530786
Switzerland,32,32,31,29,29,28.5,29
Chile,15.8,15.8,15.8,14.2,14.2,14.2,14.2
China,23.6,23.6,23.4,23.4,21.3,21.3,21.3
Cote d'Ivoire,9.2,9.2,9.4,10.4,10.4,11,8.9
Cameroon,31.1,31.1,31.1,31.1,13.9,13.9,13.9
"Congo, Rep.",7.4,7.4,7.4,7.4,7.4,7.3,7.3
Colombia,19.9,19.9,19.9,12.1,12.1,12.1,12.7
Comoros,3,3,3,3,3,3,3
Cabo Verde,20.8,20.8,20.8,20.8,20.8,20.8,18.1
Costa Rica,33.3,33.3,33.3,38.6,38.6,38.6,38.6
Caribbean small states,19.73363229,19.73363229,17.15869074,17.0811236,16.18269663,15.84977679,15.24394619
Cuba,48.9,48.9,48.9,48.9,45.2,45.2,43.2
Cyprus,12.5,12.5,12.5,10.7,10.7,10.7,12.5
Czech Republic,20,20,19.5,19.5,22,22,22
Germany,36.5,36.5,36.5,36.5,32.9,32.9,32.8
Djibouti,12.7,12.7,12.7,12.7,13.8,13.8,13.8
Dominica,21.9,21.9,12.9,12.5,12.5,12.5,12.5
Denmark,37.4,37.4,39.1,39.1,39.1,39.1,38
Dominican Republic,20.8,20.8,20.8,20.8,20.8,20.8,20.8
Algeria,31.6,31.6,31.6,31.6,31.6,8,7.7
East Asia & Pacific (excluding high income),19.39205852,19.7031416,19.01453869,19.26560218,18.18850624,17.87338814,17.88179551
Early-demographic dividend,21.82782646,22.16444918,21.07095515,20.3848683,19.30140982,17.56534857,17.42335887
East Asia & Pacific,19.00917887,19.27838885,18.59131702,18.8202159,17.85113678,17.68566308,17.75981203
Europe & Central Asia (excluding high income),18.02155195,18.02155195,18.02959052,17.60401329,17.36796117,15.79393464,15.07804496
Europe & Central Asia,25.7173578,25.7526789,25.34843177,24.67533495,23.75255244,22.70588022,21.99480319
Ecuador,41.6,41.6,41.6,38.7,32.3,32.3,32.3
"Egypt, Arab Rep.",14.9,,,,2,2,12.7
Euro area,30.12703576,30.21584775,30.11762806,29.76724337,27.43124277,26.05366644,25.32708141
Eritrea,22,22,22,22,22,22,22
Spain,40,41.1,39.7,36,36,36,36.6
Estonia,23.8,23.8,19,20.8,20.8,19.8,22.8
Ethiopia,38.8,38.8,27.8,27.8,27.8,27.8,27.8
European Union,28.32757225,28.38132068,27.7298368,27.09065471,25.72438759,24.863071,24.16893471
Fragile and conflict affected situations,16.11927083,16.49289507,15.1587764,15.10724307,14.23351304,13.27388707,11.8953136
Finland,41.5,41.5,42.5,42.5,42.5,42.5,40
Fiji,16,16,14,,,,
France,26.2,26.2,26.2,26.9,26.9,18.9,18.9
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0
Gabon,14.2,14.2,15,15.8,15.8,14.2,14.7
UK,29.4,29.4,22.6,22.5,22.5,22.3,22
Georgia,11.3,11.3,12,12,12,6.6,6.5
Ghana,10.9,10.9,10.9,10.9,,8.3,8.3
Guinea,21.9,21.9,21.9,,,,
"Gambia, The",9.4,9.4,9.4,7.5,7.5,7.5,7.5
Guinea-Bissau,13.7,13.7,13.7,14,14,10,10
Equatorial Guinea,24,24,24,12.1,10,10,10
Greece,19.7,19.7,21,21,21,18.7,17.3
Grenada,33.3,33.3,33.3,33.3,13.3,13.3,13.3
Guatemala,13.9,13.9,13.3,13.3,13.3,13.3,12
Guyana,30.4,30.4,31.3,31.3,31.3,31.3,30
High income,26.44965323,26.49540704,25.84739704,25.19301176,23.85609346,23.29834572,22.70036601
Honduras,25.8,25.8,25.8,19.5,19.5,19.5,18
