original_title,Feelings of safety
original_indicator_code,
title_German,Gefühlte physische Sicherheit
sdg,16
short_indicator_description,
short_indicator_description$de,"Anteil der Personen, die sich sicher fühlen, wenn sie alleine in der Dunkelheit unterwegs sind"
short_indicator_description$en,Proportion of population who feels safe when walking alone after dark
long_indicator_description,
long_indicator_description$en$text,"The feeling of safety can be an indicator for crime and actual security within a coutnry. At the same time, it can be an important indicator of the quality of life, because feelings of fear and insecurity can heavily impact one's quality of life. The data was collected as part of the Eurobarometer survey, which is an annual public opinion survey by the European Commission. The dataset distinguishes between four different levels of perceived safety, here the proportion of the population that feels 'very safe' or 'fairly safe' is shown. The specific question asked is whether a person feels safe when walking alone outside in his or her area after dark."
long_indicator_description$en$baseunit,%
long_indicator_description$de$text,"Das Sicherheitsgefühl kann einerseits ein Indikator für Kriminalität und tatsächliche Sicherheit in einem Land sein. Gleichzeitig ist es ein wichtiger Indikator für Lebensqualität, da Gefühle von Angst und Unsicherheit die Lebensqualität erheblich beeinflussen können. Die Daten wurden als Teil des Eurobarometers erhoben, einer Meinungsumfrage, die jährlich von der Europäischen Kommission in Auftrag gegeben wird. In dem Datensatz wird das Sicherheitsgefühl in vier Stufen unterteilt, hier ist der Anteil der Bevölkerung angezeit, die sich ""sehr sicher"" oder ""recht sicher"" fühlen. Die Frage bezieht sich darauf, ob sich eine Person sicher fühlt, die nach nach Einbruch der Dunkelheit in der eigenen Wohngegend alleine draußen unterwegs ist. "
long_indicator_description$de$baseunit,%
target,
target$type,more
target$value,90
target$rating,"90, 80, 70, 60"
target$explanation$de,Der Zielwert orientiert sich an aktuellen Vorreiterländern
target$explanation$en,The target value is based on the current best performers
target$target_reference,
target$tags,social
target$target,16.1
target$ministerial_responsibility,BMI
target$other_relevant_SDGs,
scoring,
scoring$timestamp,2016-12-22
scoring$type,national
scoring$timestamp_data_host,2013
source,
source$type,official
source$note,
source$publisher,Eurostat
source$link,http://ec.europa.eu/eurostat/web/gdp-and-beyond/quality-of-life/data/economic-physical-safety
source$value,IAEG
source$maintainer,OKF
source$license,"Eurostat has a policy of encouraging free re-use of its data, both for non-commercial and commercial purposes."
countries,
,2013
Belgium,79.50
Bulgaria,49.80
Czech Republic,75.80
Denmark,83.70
Germany,73.10
Estonia,74.30
Ireland,68.20
Greece,60.50
Spain,78.30
France,74.50
Italy,67.70
Cyprus,80.60
Latvia,69.60
Lithuania,63.80
Luxembourg,72.20
Hungary,65.20
Malta,82.90
Netherlands,89.80
Austria,80.60
Poland,83.60
Portugal,60.90
Romania,77.20
Slovakia,74.00
Slovenia,89.70
Finland,90.90
Sweden,79.30
UK,77.20
Iceland,85.50
Norway,92.90
Switzerland,83.10
Serbia,90.40
