original_title,OGP - Participating Countries
original_indicator_code,
title_German,Mitgliedschaft bei der Open Government Partnership
sdg,17
short_indicator_description,
short_indicator_description$de,Dieser Indikator misst die Mitgliedschaft und gegebenenfalls des Fortschritt eines Landes bei der Open Government Partnership (OGP.)
short_indicator_description$en,This indicator measure the membership and if applicable the progress of a country in the Open Government Partnership.
long_indicator_description,
long_indicator_description$en$text,"The Open Government Partnership is a multilateral initiative that aims to secure concrete commitments from governments to promote transparency, empower citizens, fight corruption, and harness new technologies to strengthen governance. The OGP is a multi-stakeholder initiative overseen by a Steering Committee including representatives of governments and civil society organizations. The indicator assesses if a country is member of the OGP and if it has a national action plan. For more information please check here: http://www.opengovpartnership.org/about The indicator can only be a proxy indicator since it only measure government commitments, not the implementation of these commitments. This data has been collected, but has not yet been summarised to an indicator, which could be displayed here. "
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"Die Open Government Partnership (OGP) ist eine multilaterale Initiative mit dem Ziel einzelne Regierungen zu verbindlichen Zusagen zu bewegen, um die Transparenz, Bürgerbeteiligung und Korruptionsbekämpfung zu stärken. Die OGP ist eine Multi-Akteurs-Initiative, die von einem internationalem Steuerungskreis geleitet wird. Diesem Steuerungskreis gehören sowohl Regierungsvertreter als auch Vertreter der Zivilgesellschaft an. Der Indikator berücksichtigt, um ein Land Mitglied der OGP ist, und ob es einen nationalen Umsetzungsplan entwickelt hat. Mehr Informationen zur OGP finden sich hier: http://www.opengovpartnership.org/about Dieser Indikator kann nur ein Proxy Indikator sein, weil er nicht die Qualität der OGP Umsetzungspläne und ihrer Durchführung bewertet. Diese Daten sind zwar verfügbar, wurden aber bis jetzt nicht zu einem Indikator zusammengefasst, den man hier darstellen könnte. "
long_indicator_description$de$baseunit,Punkte
target,
target$type,more
target$value,4
target$rating,"4,3,2,1"
target$explanation$de,"Ein Wert von 4 bedeutet, dass ein Land bereits den dritten Aktionsplan abgeschlossen hat (3 = 2. Aktionsplan, 2 = 1. Aktionsplan, 1 = inaktive Mitgliedschaft) "
target$explanation$en,"A value of 4 means that the country has adopted a third action plan (3=2nd action plan, 2= 1st action plan, 1 = developing action plan, 0 = inactive membership)"
target$target_reference,
target$tags,"social, economic"
target$target,
target$ministerial_responsibility,BMI
target$other_relevant_SDGs,
scoring,
scoring$timestamp,07/12/2016
scoring$type,global
scoring$timestamp_data_host,2016
source,
source$type,inofficial
source$note,
source$publisher,Open Government Partnership
source$link,http://www.opengovpartnership.org/countries
source$value,OKF
source$maintainer,OKF
source$license,CC BY 3.0
countries,
,2016
Albania,4
Argentina,3
Armenia,4
Australia,1
Azerbaijan,0
Belgium,0
Bosnia and Herzegovina,1
Brazil,3
Bulgaria,4
Canada,4
Chile,4
Colombia,3
Costa Rica,3
Croatia,3
Czech Republic,4
Denmark,3
Dominican Republic,4
El Salvador,4
Estonia,4
Finland,3
France,2
Georgia,4
Germany,1
Ghana,3
Greece,4
Guatemala,4
Honduras,4
Hungary,0
Indonesia,4
Ireland,2
Israel,3
Italy,4
Jordan,4
Kenya,3
Latvia,3
Liberia,3
Lithuania,4
Luxembourg,1
Macedonia,4
Malawi,2
Malta,3
Mexico,4
Moldova,3
Mongolia,3
Montenegro,2
Netherlands,3
New Zealand,3
Norway,4
Panama,3
Paraguay,4
Peru,3
Philippines,4
Romania,4
Serbia,2
Sierra Leone,3
Slovak Republic,3
South Africa,4
South Korea,3
Spain,3
Sweden,3
Tanzania,3
Trinidad and Tobago,2
Tunisia,3
Turkey,0
UK,4
USA,4
Ukraine,3
Uruguay,4
