original_title,Women teachers in Tertiary Education,,
original_indicator_code,,,
title_German,Lehrerinnen / Dozentinnen im tertiären Bildungsbereich,,
sdg,5,,
short_indicator_description,,,
short_indicator_description$de,Anteil von Frauen im tertiären Bildungsbereich von allen Lehrern und Dozenten,,
short_indicator_description$en,Proportion of women teachers and instructors (of all teachers) in tertiary education,,
long_indicator_description,,,
long_indicator_description$en$text,"Women teachers are women whose professional activity is student instruction, involving the delivery of lessons to students. The indicator measures the proportion of women of all teachers and instructors. In many countries, there is a 'leaky pipeline' phenomenon, meaning that the proportion of women decreases as they move up the tertiary education career ladder. A low proportion of women in instructor positions may point to structural inequalities. Nevertheless, this indicator does not contain any information about the proportion of women entering tertiary education. ",,
long_indicator_description$en$baseunit,%,,
long_indicator_description$de$text,"Der Anteil der Lehrerinnen und Dozentinen misst, wie viele Frauen im tertiären Bildungsbereich eines Landes unterrichten. In vielen Ländern gibt es ein 'Leaky Pipeline' Phänomen: obwohl mehr Frauen als Männer mit dem Studium beginnen, dünnt sich der Anteil entlang der Hochschulkarriereleiter aus. Ein geringer Frauenanteil weist so auf eine strukturelle Ungleichheit hin. Allerdings enthält dieser Indikator alleine keine Informationen darüber, wie viele eine Tertiärausbildung beginnen.  ",,
long_indicator_description$de$baseunit,%,,
target,,,
target$type,more,,
target$value,50,,
target$rating,"50,45,40,35",,
target$explanation$de,"Ein Zielwert von 50% Frauenanteil wird angestrebt, um Ungleichheiten in der tertiären Bildung abzuschaffen. ",,
target$explanation$en,A target of 50% women is set to achieve equality in tertiary education.,,
target$target_reference,,,
target$tags,social,,
target$target,5.5,,
target$ministerial_responsibility,BMBF,,
target$other_relevant_SDGs,,,
scoring,,,
scoring$timestamp,2016-11-02,,
scoring$type,national,,
scoring$timestamp_data_host,2013,,
source,,,
source$type,inofficial,,
source$note,,,
source$publisher,OECD,,
source$link,https://data.oecd.org/eduresource/women-teachers.htm,,
source$value,OKF,,
source$maintainer,OKF,,
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible. ,,
countries,,,
,2014,2013,2012
Argentina,NA,NA,NA
Australia,NA,44.012,43.769
Austria,42.555,42.101,41.522
Belgium,48.168,46.877,45.965
Brazil,45.412,45.111,45.176
Canada,49.363,49.364,49.364
Chile,NA,NA,NA
China,42.977,45.062,NA
Colombia,35.78,35.934,NA
Czech Republic,39.874,38.003,36.952
Denmark,41.186,NA,NA
Estonia,48.938,NA,NA
Finland,50.294,50.689,50.272
France,39.938,37.232,37.095
Germany,38.018,37.711,36.831
Greece,32.705,33.093,NA
Hungary,43.314,38.781,37.469
Iceland,NA,NA,NA
India,NA,NA,NA
Indonesia,39.239,38.516,NA
Ireland,43.997,43.997,NA
Israel,NA,NA,NA
Italy,37.469,36.893,36.47
Japan,26.806,25.175,25.175
South Korea,34.734,34.6,34.481
Latvia,55.657,56.323,57.436
Luxembourg,38.352,NA,45.029
Mexico,NA,NA,NA
Netherlands,43.508,43.184,39.998
New Zealand,49.062,48.702,48.736
Norway,45.246,45.063,43.573
Poland,44.228,44.094,43.561
Portugal,43.978,44.045,43.805
Russia,56.506,58.156,56.347
Saudi Arabia,40.491,40.491,NA
Slovakia,44.851,44.685,44.331
Slovenia,38.799,39.741,39.004
South Africa,NA,NA,NA
Spain,41.712,40.693,40.204
Sweden,43.947,43.767,NA
Switzerland,33.96,NA,36.951
Turkey,42.779,41.565,41.131
UK,44.34,44.146,43.752
USA,49.106,NA,48.592
