original_title,PM2.5 air pollution
original_indicator_code,EN.ATM.PM25.MC.M3
title_German,Feinstaubbelastung
sdg,11
short_indicator_description,
short_indicator_description$de,Durchschnittliche jährliche Feinstaubbelastung
short_indicator_description$en,Average annual exposure to PM2.5 air pollution
long_indicator_description,
long_indicator_description$en$text,"Particulate matter is primarily produced by human behaviour: emissions of motor vehicles, heating plants, ovens and heaters, metal and steel production, and in the handling of bulk materials. In urbanised areas, road transport is the major source of particulate matter. Agriculture is also an important source: the emissions of gaseous chemical precusers, particularly the emissions of ammonia from livestock breeding contribute to secondary pollution. In humans, PM2.5 can travel through the bronchi into lung tissue and even reach the blood circulation. Depending on the depth and the size of the particles, health consequences can vary. PM2.5 can cause irritation of mucus membranes, local infections of the trachea and lead to increased risk of thrombosis. Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas."
long_indicator_description$en$baseunit,µg/m3
long_indicator_description$de$text,"Feinstaub wird vor allem durch menschliches Handeln erzeugt: Primärer Feinstaub entsteht durch Emissionen aus Kraftfahrzeugen, Kraft- und Fernheizwerken, Öfen und Heizungen, bei der Metall- und Stahlerzeugung oder auch beim Umschlagen von Schüttgütern. In Ballungsgebieten ist der Straßenverkehr die dominierende Staubquelle. Eine weitere wichtige Quelle ist die Landwirtschaft: Die Emissionen gasförmiger Vorläuferstoffe, insbesonders die Ammoniakemissionen aus der Tierhaltung, tragen zur sekundären Feinstaubbildung bei. PM2,5 kann beim Menschen in die Bronchien und Lungenbläschen und ultrafeine Partikel bis in das Lungengewebe und sogar in den Blutkreislauf eindringen. Je nach Größe und Eindringtiefe der Teilchen sind die gesundheitlichen Wirkungen von Feinstaub verschieden. Sie reichen von Schleimhautreizungen und lokalen Entzündungen in der Luftröhre und den Bronchien oder den Lungenalveolen bis zu einer erhöhten Thromboseneigung. Der hier verwendete Indikator PM2.5 ist definiert als die durchschnittliche Belastung der Bevölkerung durch Partikel, die kleiner sind als 2.5 Mikronen und die in der Lage sind in die Atemwege zu gelangen. Die Belastung wird berechnet durch die Gewichtung der jährlichen PM2.5 Partikel nach der Bevölkerung in ländlichen und städtischen Gegenden."
long_indicator_description$de$baseunit,µg/m3
target,
target$type,less
target$value,3
target$rating,"3,6,10,14"
target$explanation$de,Die Weltgesundheitsorganisation legt einen Maximalwert von 10µg/m3 fest. Daher erhalten Länder mit einem Mittelwert bis 10 Mikrogramm/m3 noch eine mittelmäßige Bewertung.
target$explanation$en,"According to the WHO, levels of 10µg/m3 annually should not be exceeded in order to avoid health effects of air pollution. Therefore, all countries below this value still get an 'ok' rating. "
target$target_reference,http://www.who.int/mediacentre/factsheets/fs313/en/
target$tags,"ecologic, social"
target$target,11.6
target$ministerial_responsibility,BMUB
target$other_relevant_SDGs,3
scoring,
scoring$timestamp,06/11/2016
scoring$type,global
scoring$timestamp_data_host,2013
source,
source$type,inofficial
source$note,"Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas."
source$publisher,World Bank
source$link,http://data.worldbank.org/indicator/EN.ATM.PM25.MC.M3
source$value,OKF
source$maintainer,OKF
source$license,
countries,
,2013
Australia,5.93
Austria,14.85
Belgium,18.53
Brazil,16.5
Canada,12.14
Chile,18.38
China,54.36
Croatia,13.93
Czech Republic,16.55
Denmark,11.41
Finland,7.03
France,14.02
Germany,15.35
Greece,15.37
Hungary,15.76
Iceland,7.18
India,46.68
Ireland,7.93
Israel,25.78
Italy,18.34
Japan,16.03
Latvia,12.02
Lithuania,13.75
Luxembourg,14.8
Mexico,11.93
Netherlands,16.84
New Zealand,8.64
Norway,6.04
Poland,16.98
Portugal,9.9
Russia,14.23
Slovakia,15.94
Slovenia,13.62
South Africa,14.33
Spain,11.65
Sweden,7.32
Switzerland,17.6
Turkey,17.21
UK,10.81
USA,10.75
