original_title,Reduction of prevalence of current tobacco smoking among women aged 15 years or more,
original_indicator_code,,
title_German,Reduktion der Verbreitung des Rauchens bei Frauen ab 15 Jahren ,
sdg,3,
short_indicator_description,,
short_indicator_description$de,Reduktion des Anteils der gegenwärtigen weiblichen Raucher an der Gesamtbevölkerung,
short_indicator_description$en,Reduction of the percentage of current tobacco female smokers of the total population,
,,
long_indicator_description,,
long_indicator_description$en$text,"Current tobacco smokers are defined as women, who are aged 15 years and above and who currently smoke a tobacco product (cigarettes, cigars, pipes, bidis) on a daily or occasional basis, according to their own statements. Tobacco smoking is an avoidable health risk factor responsible for the four main causes of premature death, non-communicable diseases: cardiovascular diseases (heart attack, stroke, etc.), lung diseases (chronic obstructive pulmonary disease, asthma, etc.), cancer (lung cancer, throat and mouth cancer, bladder cancer, etc.) and diabetes. Until 2025 the percentage of current smokers should be reduced by 30% compared to 2010. For Ireland, South Korea, Japan, UK and USA only cigarette smoking is counted.",
long_indicator_description$en$baseunit,%,
long_indicator_description$de$text,"Gegenwärtige Raucherinnen sind definiert als Frauen, die 15 Jahre oder älter sind und die nach eigenen Angaben zum Zeitpunkt der Umfrage täglich oder gelegentlich rauchen (Zigaretten, Zigarren, Pfeife, Bidis). Rauchen ist ein vermeidbarer gesundheitlicher Risikofaktor, der für vier Hauptursachen frühzeitigen Sterbens, nicht übertragbare Krankheiten, verantwortlich ist: Herz-Kreislauf-Erkrankungen (Herzinfarkt, Schlaganfall u.a.), Lungenkrankheiten (chronisch obstruktive Lungenkrankheit, Asthma u.a.), Krebs (Lungenkrebs, Rachen- und Mundraum, Blasenkrebs u.a.) und Diabetes. Bis 2025 soll der Anteil der gegenwärtigen Raucher_innen um 30% im Vergleich mit dem Jahr 2010 reduziert werden. Für Irland, Südkorea, Japan, UK und USA werden nur Zigarettenraucher berücksichtigt.",
long_indicator_description$de$baseunit,%,
target,,
target$type,more,
target$value,30,
target$rating,"10, 20, 25, 30",
target$explanation$de,"In 2013 hat die Weltgesundheitsorganisation eine Resolution verabschiedet nach der alle Mitgliedsstaaten dazu verpflichtet sind den Anteil der Raucher, die 15 Jahre oder älter sind, bis 2025 um 30% im Vergleich zu 2010 zu reduzieren.  (WHA resolution WHA66.10).",
target$explanation$en,"In 2013, the World Health Assembly adopted a resolution in which all member states commit themselves to reduce the percentage of current tobacco use in persons aged 15+ years by 30% from 2010 to 2025 (WHA resolution WHA66.10).",
target$target_reference,http://apps.who.int/gb/ebwha/pdf_files/WHA66-REC1/A66_REC1-en.pdf#165,
target$tags,"Social, Economic",
target$target,3.5,
target$ministerial_responsibility,BMG,
scoring,,
scoring$timestamp,21.09.16,
scoring$type,national,
scoring$timestamp_data_host,2015,
source,,
source$type,official,
source$note,,
source$publisher,WHO,
source$link,http://gamapserver.who.int/gho/interactive_charts/tobacco/use/atlas.html,
source$value,IAEG,
source$maintainer,Blue 21 e.V. / Unfairtobacco.org,
source$license,copyright World Health Organization (),
countries,,
,2015,
Australia,13.1,
Austria,,
Belgium,20,
Brazil,11.3,
Bulgaria,28.2,
Canada,12.2,
Chile,36,
China,1.8,
Croatia,33.5,
Cyprus,,
Czech Republik,29,
Denmark,16.4,
Estonia,24.9,
Finland,18.5,
France,25.6,
Germany,28.3,
Greece,32.7,
Hungary,24.8,
Iceland,15.1,
India,1.9,
Ireland,21.9,*
Israel,19.3,
Italy,19.7,
Japan,10.6,*
South Korea,4.2,*
Latvia,24.3,
Lithuania,22.2,
Luxembourg,21.4,
Malta,20.2,
Mexico,6.6,
Netherlands,23.3,
New Zealand,15.4,
Norway,22.1,
Poland,23.7,
Portugal,13.7,
Romania,22.7,
Russia,22.8,
Slovakia,17.6,
Slovenia,18.1,
South Africa,6.5,
Spain,27.1,
Sweden,20.8,
Switzerland,19.7,
Turkey,12.4,
UK,18.4,*
USA,15,*
