original_title,"Daily smokers, Total, % of population aged 15+",
original_indicator_code,doi: 10.1787/1ff488c2-en,
title_German,Anteil täglicher Raucher,
sdg,3,
short_indicator_description,,
short_indicator_description$de,Anteil der täglichen Raucher an der Gesamtbevölkerung,
short_indicator_description$en,Share of daily Smokes out of total population,
long_indicator_description,,
long_indicator_description$en$text,"Daily smokers are defined as the population aged 15 years and over who are reporting to smoke every day. Smoking is a major risk factor for at least two of the leading causes of premature mortality - circulatory disease and cancer, increasing the risk of heart attack, stroke, lung cancer, and cancers of the larynx and mouth. In addition, smoking is an important contributory factor for respiratory diseases.",
long_indicator_description$en$baseunit,%,
long_indicator_description$de$text,"Tägliche Raucher sind definiert als Personen, die 15 Jahre oder älter sind und die nach eigenen Angaben jeden Tag rauchen. Rauchen ist ein großer gesundheitlicher Risikofaktor für wenigstens zwei Hauptursachen frühzeitigen Sterbens - Kreislaufkrankheiten und Krebs. Rauchen erhöht das Risiko für Herzinfarkte, Schlaganfälle, Lungenkrebs sowie Krebs im Rachen- und Mundraum. Darüber hinaus ist Rauchen ein wesentlicher Faktor bei Atemwegserkrankungen.",
long_indicator_description$de$baseunit,%,
target,,
target$type,less,
target$value,10,
target$rating,"10,15,20,25",
target$explanation$de,"Der Optimalwert orientiert sich an den Ländern, die am besten abschneiden. ",
target$explanation$en,The target value is based on the countries that are currently performing best. ,
target$target_reference,,
target$tags,social,
target$target,3.5,
target$ministerial_responsibility,BMG,
target$other_relevant_SDGs,,
scoring,,
scoring$timestamp,29/10/2016,
scoring$type,national,
scoring$timestamp_data_host,2013,
source,,
source$type,inofficial,
source$note,"Information on data for Israel: http://oe.cd/israel-disclaimer, Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/",
source$publisher,OECD,
source$link,https://data.oecd.org/healthrisk/daily-smokers.htm,
source$value,OKF,
source$maintainer,OKF,
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible. ,
countries,,
,2013,2011
Australia,12.8,
Austria,,24.3
Belgium,18.9,
Brazil,11.3,8.7
Canada,14.9,14
Czech Republic,22.2,22.3
Denmark,17,17
Estonia,26,22.1
Finland,15.8,15.4
France,24.1,22.4
Germany,20.9,
Greece,,27.3
Hungary,,25.8
Iceland,11.4,13.7
Israel,16.2,17.1
Italy,19.7,19.7
Japan,19.3,19.6
Latvia,34.3,36.4
Lithuania,22.2,
Luxembourg,15.3,15.3
Mexico,11.8,
Netherlands,18.5,19.1
New Zealand,15.5,15.5
Norway,13,13
Poland,,22.7
Portugal,,16.8
Russia,22,22
Slovakia,,22.9
Slovenia,20.5,18.9
South Africa,19.8,
South Korea,19.9,20
Spain,23.9,23
Sweden,10.7,11.9
Switzerland,20.4,
Turkey,23.8,
UK,20,
USA,13.7,
