original_title,PISA Score,,,,,,,
original_indicator_code,,,,,,,,
title_German,PISA Wertung,,,,,,,
sdg,4,,,,,,,
short_indicator_description,,,,,,,,
short_indicator_description$de,Programm zur Internationalen Schülerbewertung (PISA),,,,,,,
short_indicator_description$en,Programme for International Student Assessment (PISA),,,,,,,
long_indicator_description,,,,,,,,
long_indicator_description$en$text,"The PISA study measures student performance independent of national curricula. Instead it measures to what extent national education systems transmit transferrable knowledge. 15-year-olds in each country take tests to assess their competencies in mathematics, reading and natural sciences. The results are rescaled, so that the OECD average in each subject area is at 500 with a standard deviation of 100. As a result, country rankings are more informative than the points scored. Here, we take the average of the points scored in each subject area.",,,,,,,
long_indicator_description$en$baseunit,points,,,,,,,
long_indicator_description$de$text,"Die PISA Studie misst Schülerleistungen unabhängig von Lehrplänen, es wird also gemessen, inwiefern nationale Bildungssysteme anwendbares Wissen vermitteln. 15-Jährige Schüler machen zweistündige Tests, in denen Kompetenzen in den Felern Mathematik, Lesekompetenz und Naturwissenschaften geprüft werden. Die errzielten Ergebnisse werden nachträglich skaliert, sodass die OECD Staaten in jedem Feld einen Mittelwert von 500 und eine Standardabweichung von 100 haben. Deswegen sagt das Ranking der Länder mehr aus als die erreichte Punktzahl eines Landes. Damit wir die Gesamtleistung der Länder miteinander vergleichen können, haben wir den Mittelwert der drei Kernkompetenzen in jedem Land errechnet.  ",,,,,,,
long_indicator_description$de$baseunit,Punkte,,,,,,,
target,,,,,,,,
target$type,more,,,,,,,
target$value,525,,,,,,,
target$rating,"525,475,425,375",,,,,,,
target$explanation$de,"Das Sustainable Development Solutions Network schlägt einen Zielwert von 400 vor, was im deutschen Kontext nicht ambitioniert genug ist. Deswegen schlagen wir einen Optimalwert von 520 vor. Dieser Optimalwert ist allerdings kein Zielwert, der für alle OECD Länder gelten kann, da die PISA Daten skaliert werden, sodass sie immer einen Mittelwert von 500 haben. Dieses methodologische Problem muss gelöst werden, bevor wir Daten über mehrere Jahre hinweg vergleichen können. ",,,,,,,
target$explanation$en,"The Sustainable Development Solutions Network proposes an optimum value of 400. In the context of countries like Germany this is not very ambitious. The OKF proposes an optimum value of 520. However, this optimum value cannot be applied to all OECD countries, since PISA data is adjusted to always have an average value of 500. This methodological problems needs to be addressed, particularly when analysing long term trends.",,,,,,,
target$target_reference,,,,,,,,
target$tags,social,,,,,,,
target$target,4.4,,,,,,,
target$ministerial_responsibility,BMBF,,,,,,,
target$other_relevant_SDGs,,,,,,,,
scoring,,,,,,,,
scoring$timestamp,2016-11-11,,,,,,,
scoring$type,national,,,,,,,
scoring$timestamp_data_host,2012,,,,,,,
source,,,,,,,,
source$type,inofficial,,,,,,,
source$note,,,,,,,,
source$publisher,OECD,,,,,,,
source$link,https://www.oecd.org/pisa/pisaproducts/pisa2012database-downloadabledata.htm,,,,,,,
source$value,OKF,,,,,,,
source$maintainer,,,,,,,,
source$license,"You are allowed to share, copy, extract from, and distribute PISA Products and parts thereof to third parties for noncommercial purposes. You may integrate PISA Products, or parts thereof, without modification, in your own materials.",,,,,,,
countries,,,,,,,,
,2012,,,,,,,
Argentina,396.00,,,,,,,
Austria,512.33,,,,,,,
Australia,500.67,,,,,,,
Belgium,509.67,,,,,,,
Brasil,402.00,,,,,,,
Canada,522.00,,,,,,,
Switzerland,342.33,,,,,,,
Chile,472.33,,,,,,,
Colombia,392.67,,,,,,,
Czech Republic,500.00,,,,,,,
Germany,515.33,,,,,,,
Denmark,498.00,,,,,,,
Spain,489.33,,,,,,,
Estonia,526.00,,,,,,,
Finland,529.33,,,,,,,
France,499.67,,,,,,,
UK,502.33,,,,,,,
Greece,465.67,,,,,,,
Hungary,486.33,,,,,,,
IDN,384.33,,,,,,,
Irland,515.33,,,,,,,
Island,484.67,,,,,,,
Israel,474.00,,,,,,,
Italy,489.67,,,,,,,
Japan,540.33,,,,,,,
South Korea,542.67,,,,,,,4.4.
Luxembourg,489.67,,,,,,,
Latvia,494.00,,,,,,,
Netherlands,518.67,,,,,,,
Norway,496.00,,,,,,,
New Zealand,509.33,,,,,,,
Poland,520.67,,,,,,,
Portugal,488.00,,,,,,,
Russia,481.00,,,,,,,
Slovakia,472.00,,,,,,,
Solvenia,498.67,,,,,,,
Sweden,482.00,,,,,,,
Turkey,462.00,,,,,,,
USA,492.00,,,,,,,
